City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Hermanus,ZA,65.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
1,Dunedin,NZ,61.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
5,Bredasdorp,ZA,65.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
6,Ancud,CL,69.33,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
7,Vao,NC,78.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
8,New Norfolk,AU,60.3,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
10,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,Kondoa,TZ,63.57,overcast clouds,-4.9,35.7833,Bab Al Shams Inland Lodge
14,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Maceio,BR,83.64,overcast clouds,-9.6658,-35.7353,Poutur Pousada
17,Nouakchott,MR,69.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
18,Caravelas,BR,82.29,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
19,Punta Arenas,CL,53.71,broken clouds,-53.15,-70.9167,Hotel Hain
20,Bluff,NZ,57.96,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Diplo,PK,65.53,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
24,Mataura,NZ,56.55,light rain,-46.1927,168.8643,Ellie's Villa
25,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
26,Lebu,CL,64.96,clear sky,-37.6167,-73.65,Hostal Las Lilas
28,Chinsali,ZM,64.11,light rain,-10.5414,32.0816,Chisakatu Guest House
29,Ushuaia,AR,46.06,moderate rain,-54.8,-68.3,Albatross Hotel
30,Pietersburg,ZA,63.09,overcast clouds,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
32,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
34,Timizart,DZ,44.8,few clouds,36.8,4.2667,yefssah restaurant
35,Cape Town,ZA,68.34,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
37,Jipijapa,EC,78.3,moderate rain,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
38,Kalmunai,LK,77.09,few clouds,7.4167,81.8167,VS Villa
39,Abha,SA,50.25,clear sky,18.2164,42.5053,Abha Hotel
40,Kaitangata,NZ,55.89,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
41,Atuona,PF,77.74,light rain,-9.8,-139.0333,Villa Enata
42,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Hobart,AU,60.66,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
46,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
