City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Hermanus,ZA,-34.4187,19.2345,65.8,75,2,14.29,clear sky
1,Dunedin,NZ,-45.8742,170.5036,61.81,89,100,1.99,overcast clouds
2,Jamestown,US,42.097,-79.2353,17.1,49,0,5.99,clear sky
3,Ust-Tsilma,RU,65.441,52.1498,17.02,92,100,9.57,light snow
4,Nanortalik,GL,60.1432,-45.2371,19.49,68,100,12.15,light snow
5,Bredasdorp,ZA,-34.5322,20.0403,65.28,71,5,11.68,clear sky
6,Ancud,CL,-41.8697,-73.8203,69.33,76,37,12.37,scattered clouds
7,Vao,NC,-22.6667,167.4833,78.28,87,99,10.42,overcast clouds
8,New Norfolk,AU,-42.7826,147.0587,60.3,68,23,1.01,few clouds
9,Provideniya,RU,64.3833,-173.3,2.59,86,4,5.21,clear sky
10,Kapaa,US,22.0752,-159.319,78.78,76,0,1.99,clear sky
11,Yellowknife,CA,62.456,-114.3525,-4.59,83,100,8.05,light snow
12,Mar Del Plata,AR,-38.0023,-57.5575,84.22,89,0,18.99,clear sky
13,Kondoa,TZ,-4.9,35.7833,63.57,88,100,0.43,overcast clouds
14,Mahebourg,MU,-20.4081,57.7,79.25,74,99,14.03,overcast clouds
15,Maceio,BR,-9.6658,-35.7353,83.64,78,100,6.91,overcast clouds
16,Malatya,TR,38.5,38.0,6.85,92,75,3.44,broken clouds
17,Nouakchott,MR,18.0858,-15.9785,69.73,66,99,15.37,overcast clouds
18,Caravelas,BR,-17.7125,-39.2481,82.29,73,0,10.07,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,53.71,43,75,24.16,broken clouds
20,Bluff,NZ,-46.6,168.3333,57.96,89,100,6.62,light rain
21,Albany,US,42.6001,-73.9662,17.15,63,100,8.99,overcast clouds
22,Diplo,PK,24.4667,69.584,65.53,66,0,8.21,clear sky
23,Henties Bay,NA,-22.116,14.2845,63.86,82,53,5.19,broken clouds
24,Mataura,NZ,-46.1927,168.8643,56.55,95,100,1.83,light rain
25,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,94,75,11.5,broken clouds
26,Lebu,CL,-37.6167,-73.65,64.96,74,2,9.64,clear sky
27,Sopotnica,MK,41.2947,21.155,30.56,90,14,3.65,few clouds
28,Chinsali,ZM,-10.5414,32.0816,64.11,96,98,1.68,light rain
29,Ushuaia,AR,-54.8,-68.3,46.06,93,75,25.32,moderate rain
30,Pietersburg,ZA,-23.9045,29.4688,63.09,88,100,9.91,overcast clouds
31,Devils Lake,US,48.1128,-98.8651,19.38,77,0,13.0,clear sky
32,Busselton,AU,-33.65,115.3333,67.05,91,2,15.19,clear sky
33,Syedove,UA,47.0768,38.156,33.01,84,99,16.93,overcast clouds
34,Timizart,DZ,36.8,4.2667,44.8,82,21,3.58,few clouds
35,Cape Town,ZA,-33.9258,18.4232,68.34,74,0,7.0,clear sky
36,Egvekinot,RU,66.3167,-179.1667,-6.02,65,12,1.19,few clouds
37,Jipijapa,EC,-1.3333,-80.5833,78.3,89,100,4.54,moderate rain
38,Kalmunai,LK,7.4167,81.8167,77.09,84,24,1.34,few clouds
39,Abha,SA,18.2164,42.5053,50.25,82,0,0.0,clear sky
40,Kaitangata,NZ,-46.2817,169.8464,55.89,94,100,4.43,overcast clouds
41,Atuona,PF,-9.8,-139.0333,77.74,76,25,15.5,light rain
42,Puerto Ayora,EC,-0.7393,-90.3518,80.56,70,22,9.86,few clouds
43,Hobart,AU,-42.8794,147.3294,60.66,76,100,1.99,overcast clouds
44,Bodaybo,RU,57.8506,114.1933,-22.58,100,100,0.54,overcast clouds
45,Saskylakh,RU,71.9167,114.0833,-22.13,99,99,3.42,overcast clouds
